Ano,Mes,Ano_Mes,Precios_Mensuales,Aportes_Energia_GWh,Volumen_Util_Diario_Energia_GWh,Demanda_Energia_SIN_GWh,CEN_Total,CEN_Hidro,CEN_Termica
2016,9,2016-09,150.3636568111111,5760.0252,10619.5799,5541.8675478700025,16.529538,11.553018,4.8644
2016,10,2016-10,184.94696905376344,5235.7961000000005,11326.4751,5587.35332082,16.529538,11.553018,4.8644
2016,11,2016-11,166.6776215111111,6075.6179999999995,12529.3565,5428.488358339999,16.529538,11.553018,4.8644
2016,12,2016-12,107.45283823655915,4992.9795,12585.5142,5547.98099185,16.594518,11.611098,4.8654
2017,1,2017-01,111.50643569892473,3960.0606000000002,11559.5147,5428.132634700002,16.594518,11.611098,4.8654
2017,2,2017-02,156.9946869642857,2273.8355,9535.7261,5188.569857980001,16.594718,11.611298,4.8654
2017,3,2017-03,119.85909288172041,5719.2606,10113.6276,5607.75620314,16.646618,11.646198,4.8654
2017,4,2017-04,96.47702438888888,4980.9363,10058.2875,5451.232084550002,16.696418,11.676098,4.8654
2017,5,2017-05,71.65047594623655,8865.9268,12304.581900000001,5681.9111348900005,16.700738,11.680418,4.8654
2017,6,2017-06,68.50058371111112,7239.09,13478.3679,5492.867051780001,16.696538,11.676218,4.8654
2017,7,2017-07,70.60407205376343,6211.9361,13789.8689,5665.040999060002,16.696638,11.676318,4.8654
2017,8,2017-08,92.5729874516129,4799.1561,12984.7386,5769.319463640003,16.698138,11.678818,4.8644
2017,9,2017-09,124.32170758888888,4893.7128,12743.7299,5623.57902441,16.694438,11.682318,4.8644
2017,10,2017-10,137.36530622580645,4588.7399,12122.4853,5740.34542118,16.750638,11.721518,4.8814
2017,11,2017-11,126.71987426666668,5603.9523,12431.9079,5572.747281319998,16.739638,11.721518,4.8704
2017,12,2017-12,101.34635160215055,3864.381,11091.032,5671.56649742,16.778748,11.725628,4.9024
2018,1,2018-01,124.47725806451614,3696.7332,10204.1641,5618.579084420001,16.757048,11.721628,4.8847000000000005
